01/06/2026 14:27:58	Ars residency Block F		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg	40/30/30	5000	10000	15000	10:00:00	0	15	38	80	15	20000	14000	12000	10000	15000		Male	Knowledge park 2 GREATER NOIDA new iilm		
01/06/2026 14:32:48	Ars Residency Kashi Palace 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine	Veg	50/30/20	5000	10000	15000	10:00:00	14 hrs	20	80	180	60	220000-250000	150000-170000	12000-15000	100000-110000	0		Male	Dankor greater noida near Galgotia University 		
01/06/2026 15:17:41	Ram raj girsl hostel		wifi, Terrace Access, Bed with storage, Wardrobe/Almirah, Cooler, Fan, Mirror, Watercooler, Attached washroom, Western Toilet, Warden, Power Backup, CCTV Surveillance	Veg	Monthly 	1000	3000	3000	21:00:00	Non ac	No	36	3	No	7000	3500	3000	No	Not service		Female	Teachers colony dankaur near police station		
01/06/2026 17:19:17	Anandam Girls’ Hostel		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, indoor games, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Fridge, Common Induction, Geyser, Attached Balcony, Common/Shared washroom, Indian Toilet, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library	Veg	60/40	No Discount 	10,000	20,000	20:30:00	Yes	Will be shared on requirement	Will be shared on requirement	Will be shared on requirement	Not available 	Full	Full	160,000 currently 	Not applicable 	Dont provide transportation for both the universities 		Female	PlotvNo. 35-B, Knowledge Park-3, Near Sharda University, Greater Noida		
01/06/2026 20:20:23	Dignity Boy Hostel 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking	Veg	40/30/30	5000	No	20500	10:30:00	10pm-5am	No	No	84	No	No	No	140000	No	15000		Male	26/B Namoli knowledge park third opposite Dronacharya college 		
01/06/2026 21:04:58	Umang Homes		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	50/25/25	5000	10000	10000	11:00:00	10-5/6-8evening	5	30	0	0	2,50,000	1,65,000	Zero	Zero	We will keep niu & gu student but without transportation & lunch deliver service .		Male	D-19 knowledge park 3 near iimt college 		
02/06/2026 07:21:24	Master class “4B”		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking	Veg	50/25/25	2,000	Nil	11,000	09:00:00	11:00am-1:00pm/3:00pm-6:00pm/9:00am-5:00am	Nil	10	177	Nil	Nil	190,000+1,000	1,55,000+1,000	Nil	No		Female	4B master class,infront of White House girls hostel,Ajmer kaur marg,KP3, Guatam buddh nagar, Greater Noida		
02/06/2026 07:27:44	Blue Heaven Girls Hostel “1/1B”		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking	Veg	50/25/25	2000	Nil	11,000	09:00:00	11:00am-1:00pm/3:00pm-6:00pm/9:00pm-5:00am	Nil	10	264	Nil	Nol	190000+1000	155000+1,000	Nil	No		Female	1/1B,Blue heaven girls hostel ,beside gurdwara,ajmer kaur marg ,kp3,Greater Noida		
02/06/2026 07:31:28	White house girls Hostel		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, indoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library	Veg	50/25/25	2000	Nil	11000	09:00:00	11:00am-1:00pm/3:00pm-6:00pm/9:00pm-5:00am	Nil	10	174	Nil	Nil	1,75,000+1,000	145000+1000	Nil	No		Female	White house girls hostel,ajmer kaur marg,kP3,guattam buddha nagar ,Greater Noida		
02/06/2026 07:39:18	Blue Heaven girls Hostel “D-29”		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library	Veg	50/25/25	2000	Nil	11000	09:00:00	11:00am-1:00pm/3:00pm-6:00pm/9:00pm-5:00am	Nil	18	144	Nil	Nil	185000+1000	155000+1000	Nil	No		Female	D-29, near by casabella,nalanda girls hostel ,KP3,Greater Noida		
02/06/2026 07:48:15	White House boys hostel 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Geyser, Attached Balcony, Attached washroom, Western Toilet, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library	Veg	50/25/25	2,000	Nil	11000	09:00:00	11:00am-1:00pm/3:00pm-6:00pm/9:00pm-5:00am	Nil	Nil	259	Nil	Nil	Nil	130000+1000	Nil	No		Male	White House Boys Hostel, opposite Dronacharya University, Knowledge Park III, Namoli, Greater Noida, Uttar Pradesh, India		
02/06/2026 07:51:15	Blue Heaven Boys Hostel 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library	Veg	50/25/25	2,000	Nil	11,000	09:00:00	11:00am-1:00pm/3:00pm-6:00pm/9:00pm-5:00am	Nil	Nil	123	Nil	Nil	Nil	145000+1000	Nil	No		Male	Blue Heaven Girls and Boys Hostel, Knowledge Park III, Greater Noida, Uttar Pradesh, India		
02/06/2026 11:57:02	Vihaan boys hostel		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	33/33/34, 40/30/30, 60/40, 50/50	5000	5000	10%	22:30:00	2pm - 5pm 9:30pm-5am 	As per requirement 	As per requirement 	120	As per requirement 	2,95,000	1,80,000	1,40,000	1,20,000	1000		Male	A-42 sector chi-4 greater Noida 		
04/06/2026 14:08:01	Destiny Home 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	60/40	5000	5000	20%	22:30:00	No	None 	6	33	12	NA	175000	150000	130000	No 		Male	CE 126 Ansal Golf link 1 Greater Noida G.B.Nagar U.P		
06/06/2026 13:59:11	SURYA PG		4 Time Meal, Lunch Deliver to college, wifi, Housekeeping, Bed without Storage, Cooler, Fan, Study Table, Chair, Curtain, Watercooler, Common Washing Machine, Attached washroom, Common/Shared washroom, Western Toilet, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg	60/40, Monthly 	10000	2 manth 	5100	22:00:00	No timing	15000	10500	8999	7999	14000	10000	8000	7000	Walking Distance no transportation 		Male, Female	F152 supartech upcountry sector 17a 		
06/06/2026 16:04:08	Gh hostel 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Watercooler, Common Washing Machine, Common Fridge, Geyser, Attached washroom, Indian Toilet, Western Toilet, First AId Kit, Warden, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	40/30/30	5000	10000	10000	22:00:00	12 hours 	0	60	60	0	0	155k with ac without ac 140k 	125k with ac without ac 115 k 	0	No 		Male	M-52 Uchi Dankaur near shiv Durga Mandir 		
06/06/2026 16:15:55	Green Haven hostel 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, Terrace Access, indoor games, Bed with storage, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Fridge, Western Toilet, Warden, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking, Vending Machine	Veg	40/30/30	5000	10000	10000	10:00:00	12 hours 	0	4	60	0	0	155k with ac collar 140k 	125k with ac 115k	0	No 		Male	M- 61		
07/06/2026 14:07:05	Shiv shakti pg		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Induction, Geyser, Attached Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	40/30/30, 60/40	5000	10000	10000	22:00:00	8 hrs	3	36	17	3	Ac - 200000/- + ac electricity  Non ac - 190000/-	Ac - 140000/- + ac Electricity  non ac - 130000/-	Ac - 130000/- + ac electricity  Non ac - 120000/-	Ac 120000/- + ac electricity   Non ac - 110000/-	No		Male	30/26&27 knowledge park 3 greater noida		
07/06/2026 14:13:09	Shiv shakti pg		4 Time Meal, Lunch Deliver to college, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking	Veg	40/30/30, 60/40	5000	10000	10000	10:00:00	8 hrs	Na	7	7	2	NA	Ac - 130000/- + ac electricity. Non ac - 120000/-	Ac - 125000/- + ac electricity Non ac - 115000/-	Ac 115000/- + ac electricity Non ac - 105000/-	No		Male	Murshadpur gr noida		
07/06/2026 14:17:14	Shiv shakti pg		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Induction, Geyser, Attached Balcony, Common Balcony, Common/Shared washroom, Western Toilet, First AId Kit, Warden, Security Guard, Power Backup, CCTV Surveillance	Veg	40/30/30, 60/40	5000	10000	10000	21:00:00	8 hrs	Na	3	2	2	Na	Ac - 130000/- + ac electricity Non ac - 120000/-	Ac 125000/- + ac electricity Non ac - 115000/-	Ac - 115000/- + ac electricity non ac - 105000/- 	No		Female	Bhagirat vihar		
07/06/2026 14:20:26	Shiv shakti pg		4 Time Meal, wifi, Housekeeping, Terrace Access, Bed with storage, Wardrobe/Almirah, Cooler, Study Table, Chair, Watercooler, Common Washing Machine, Attached washroom, Western Toilet, First AId Kit, Fire Safety/ Extinguisher, Warden, Power Backup, CCTV Surveillance	Veg	40/30/30, 60/40	5000	10000	10000	22:00:00	Non ac	3	36	Na	Na	Na	80000/-	Na	Na	No transportation 		Male	Dankaur		
09/06/2026 19:56:00	Shree Shyam Hostels		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg	60/40	5000	10000	20000	10:00:00	10:00 PM to 6:00 AM 2:00 PM to 5:00 PM	0	10	90	0	0	200000	160000	0	10000		Male	Plot no 59 Ansal Golf link Sector Omega 01 Greater Noida 		
15/06/2026 19:29:49	Inaraliving 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine, Badminton court,  Green park, Swimming pool access 	Veg	60/40	5000	Rs 10000 refundable 	Rs 20000 + Registration charges 	22:30:00	Discussion during registration as per Plan A or Plan B	No	10	56	No	No	230000	180000	No	Yes		Female	27/29 A, Knowledge park 3, Nr Sharda University Gate 5, Greater Noida 		
15/06/2026 20:20:33	SHREE SAWARIA HOUSE 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	60/40	5000	10,000	20,000	11:00:00	2:00-5:00 PM & 10:00 PM- 5:00 AM	0	14	78	0	0	2,00,000	1,60,000	0	10,000		Male	BB-46 ANSAL GOLF LINK 1 PARI CHOWK GREATER NOIDA 		
15/06/2026 20:28:57	SHREE SAWARIA HOUSE 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	60/40	5000	10,000	20,000	11:00:00	2pm to 5pm and 10pm to 5am 	0	28	45	0	0	1,90,000	1,60,000	0	10,000		Female	CD-92 ANSAL GOLF LINK 1 PARI CHOWK GREATER NOIDA 		
16/06/2026 21:43:20	Nalanda House boys Hostel 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, indoor games, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	50/25/25	2000/-	No	10000/-	09:30:00	11am to 1pm, 2pm to 5pm, 10pm to 5am	No	No	190	8	No	No	Ac 144000/-  cooler 125000/-	Ac 130000/- cooler 115000/-	No		Male	2c/3 knowledge park 3rd greater Noida		
16/06/2026 21:48:46	Nalanda House Himadri Girls Hostel 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Two wheeler Parking	Veg, Non veg	50/25/25	2000/-	5000/-	10000/-	09:00:00	11am to 1 pm, 2pm to 5pm, 10pm to 5pm	No	6	80	No	No	175000/-	144000/-	No	No		Female	Pot no A17 knowledge park 3rd Greater Noida		
16/06/2026 21:54:34	Nalanda House Girnar Hostel 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Cricket box on terrace 	Veg, Non veg	Monthly 	No	5000/-	10000/-	09:30:00	No	No	10	90	No	No	13000/-	10000/-	No	No		Male	Dankaur 		
17/06/2026 19:12:17	The Castle Boys Hostel		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	50/25/25	5000	No	15000	09:30:00	10 PM - 6 Am , 4pm -7pm	No	On deman	182	No	No	210000 Ac 	1,60,000 Ac , 1,40,000 Non Ac 	No	Without transport 		Male	Plot no 42 , Orlean college of pharmacy near Sharda university 		
17/06/2026 19:20:30	The castle living		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking	Veg	50/25/25	5000	No	15000	10:00:00	Same As earlier 	0	On demand	250	0	0	180000	150000-Ac 135000-Non Ac 	0	15000 not compulsory 		Male	Knowledge Park 3 plot no D-30 near Glbajaj 		
18/06/2026 09:52:31	APS Residency 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Indian Toilet, Western Toilet, Visitor Management, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg	One month Rent and one month security 	12000	12000/	10000/	09:00:00	5pm to 7am	6	80	15	101	16000/	12000/	15	100th 	No		Male, Female	APS Residency 		
20/06/2026 17:31:39	Navneet Kumar 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Common Fridge, Common Induction, Geyser, Common Balcony, Attached washroom, Indian Toilet, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Two wheeler Parking, Vending Machine	Veg	40/30/30	5000	No	10 k	11:00:00	Unlimited 	Oo	40	120	0	No	150 without incentive 165 with incentive 	130 without incentive 145 with incentive 	No	No 		Male	N-5 namoli knowledge park 3 		
21/06/2026 15:09:11	VALIANT GIRLS HOSTEL		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	40/30/30	5000	10000	10000	22:00:00	Yes	0	04	90	0	N/A	180000	140000	N/A	N/A		Female	Plot no. 8, near NIET Business Knowlege Park-3, Greater Noida		
21/06/2026 15:16:41	VALIANT BOYS HOSTEL Campud-3		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	50/50	5000	10000	10000	22:00:00	Yes	5	8	150	0	220000	180000	140000	NA	NA		Male	Plot No. 9/29, near Sharda gate No. 5, KP-3, Greater Noida		
21/06/2026 15:23:22	VALIANT BOYS HOSTEL		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Induction, Geyser, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	50/50	5000	10000	10000	22:00:00	Yes	0	10	80	12	NA	145000	120000	115000	NA		Male	Plot No. 30/25, ROJGAR WITH ANKIT complex, KP-3, Greater Noida		
