29/05/2026 19:26:13	Finix residency boys hostel  plot no 11 C kp 3 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine	Veg	50/50	5000	10000	10000	10:00:00	Yes 	No	40	400	No	No	200000	155000	No	10000					
30/05/2026 15:08:45	Saraswati Niwas Hostels 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine, Familiar Environment 	Veg, Non veg	60/40, 50/50, 50/30/20	5000	5000	11000	23:00:00	8 hours excluding Sunday 	0	6	24	0	0	130000	125000	0	5000		Male	Plot no 67 Namoli Knowledge Park 3		
30/05/2026 15:18:30	Saraswati Niwas Hostels		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine, Familiar Environment 	Veg, Non veg	60/40, 50/50, 50/30/20	5000	5000	11000	23:00:00	10 hours 	1	0	18	0	250000	0	145000	0	5000		Male	Plot no 66 Namoli KP 3 (AR1)		
30/05/2026 15:21:12	Saraswati Niwas Hostels 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Indian Toilet, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine, Familiar Environment 	Veg, Non veg	60/40, 50/50, 50/30/20	5000	5000	11000	23:00:00	8 to 10 hours 	0	8	59	0	0	155000	145000	0	5000		Male	AR2 plot no 66 Namoli KP3		
30/05/2026 15:27:01	Saraswati Niwas Hostels 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking, Vending Machine, Familiar Environment 	Veg, Non veg	60/40, 50/50, 50/30/20	5000	5000	11000	23:00:00	8 to 10 hours 	5	97	0	0	240000	155000	0	0	5000		Male	Plot no 82 (B4) Knowledge Park 3		
30/05/2026 15:27:59	Royal Paradise Girls Hostel ( Half Penny )		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking	Veg, Non veg	40/30/30	5000	Not Required	5000	21:00:00	24 Hrs	N/A	200	50	N/A	N/A	2 AC - 1,65,000/-, 2 Non Ac - 1,45,000/-	3 AC - 1,50,000/-, 3 Non AC - 1,30,000/-	N/A	NO		Female	Plot No. C-20, Knowledge Park 3, Greater Noida		
30/05/2026 15:36:50	Royal Paradise Girls Hostel ( Harjas )		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking	Veg	40/30/30	5000	N/A	5000	21:00:00	3 pm to 6 am	N/A	12	250	N/A	N/A	1,75,000/- AC	AC- 1,50,000/-, NON AC - 1,30,000/-	N/A	NO		Female	Plot No. C-20, Knowledge Park 3, Greater Noida		
30/05/2026 15:40:28	Saraswati Niwas Hostels 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine, 	Veg, Non veg	60/40, 50/50, 50/30/20	5000	5000	11000	23:00:00	8 to 10 hours 	0	24	18	0	0	155000	145000	0	5000		Male	Plot no B17 (Girls Hostel) B17 		
30/05/2026 15:42:47	Royal Paradise Girls Hostel (Half Penny)		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking	Veg, Non veg	40/30/30	5000	N/A	5000	21:00:00	24 Hrs	0	200	50	0	Not Available	AC- 1,65,000/-, NON AC- 1,45,000/-	AC- 1,40,000/-, NON AC- 1,25,000/-	NOT AVAILABLE	NO		Female	Internal Road (In front of VSK Garden), Knowledge Park 3, Greater Noida		
30/05/2026 15:54:03	Royal Paradise Girls Hostel ( UNITED )		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Fridge, Common Induction, Geyser, Attached washroom, Common/Shared washroom, Indian Toilet, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	40/30/30	5000	N.A	5000	20:30:00	24 Hrs	0	0	200	0	NOT AVAILABLE	NOT AVAILABLE	AC - 1,30,000/- NON AC - 1,10,000/-	NOT AVAILABLE	NO		Female	United Campus, Knowledge Park 3, Greater Noida		
